f1,fn,fp,layer,mode,precision,recall,scope,tp
0.09230769230769231,14,45,entity,strict,0.0625,0.17647058823529413,micro,3
0.0,17,0,event,strict,0.0,0.0,micro,0
0.0,4,0,timex,strict,0.0,0.0,micro,0
0.0,21,0,relation,strict,0.0,0.0,micro,0
0.09230769230769231,14,45,entity,relaxed,0.0625,0.17647058823529413,micro,3
0.0,17,0,event,relaxed,0.0,0.0,micro,0
0.0,4,0,timex,relaxed,0.0,0.0,micro,0
0.0,21,0,relation,relaxed,0.0,0.0,micro,0
0.09230769230769231,,,entity,strict,0.0625,0.17647058823529413,macro,
0.0,,,event,strict,0.0,0.0,macro,
0.0,,,timex,strict,0.0,0.0,macro,
0.0,,,relation,strict,0.0,0.0,macro,
0.09230769230769231,,,entity,relaxed,0.0625,0.17647058823529413,macro,
0.0,,,event,relaxed,0.0,0.0,macro,
0.0,,,timex,relaxed,0.0,0.0,macro,
0.0,,,relation,relaxed,0.0,0.0,macro,
