f1,fn,fp,layer,mode,precision,recall,scope,tp
0.12213740458015267,9,106,entity,strict,0.07017543859649122,0.47058823529411764,micro,8
0.0,17,0,event,strict,0.0,0.0,micro,0
0.0,4,0,timex,strict,0.0,0.0,micro,0
0.0,21,0,relation,strict,0.0,0.0,micro,0
0.19847328244274806,4,101,entity,relaxed,0.11403508771929824,0.7647058823529411,micro,13
0.0,17,0,event,relaxed,0.0,0.0,micro,0
0.0,4,0,timex,relaxed,0.0,0.0,micro,0
0.0,21,0,relation,relaxed,0.0,0.0,micro,0
0.12213740458015267,,,entity,strict,0.07017543859649122,0.47058823529411764,macro,
0.0,,,event,strict,0.0,0.0,macro,
0.0,,,timex,strict,0.0,0.0,macro,
0.0,,,relation,strict,0.0,0.0,macro,
0.19847328244274806,,,entity,relaxed,0.11403508771929824,0.7647058823529411,macro,
0.0,,,event,relaxed,0.0,0.0,macro,
0.0,,,timex,relaxed,0.0,0.0,macro,
0.0,,,relation,relaxed,0.0,0.0,macro,
