f1,fn,fp,layer,mode,precision,recall,scope,tp
0.1391304347826087,9,90,entity,strict,0.08163265306122448,0.47058823529411764,micro,8
0.0,17,0,event,strict,0.0,0.0,micro,0
0.0,4,0,timex,strict,0.0,0.0,micro,0
0.0,21,0,relation,strict,0.0,0.0,micro,0
0.2434782608695652,3,84,entity,relaxed,0.14285714285714285,0.8235294117647058,micro,14
0.0,17,0,event,relaxed,0.0,0.0,micro,0
0.0,4,0,timex,relaxed,0.0,0.0,micro,0
0.0,21,0,relation,relaxed,0.0,0.0,micro,0
0.1391304347826087,,,entity,strict,0.08163265306122448,0.47058823529411764,macro,
0.0,,,event,strict,0.0,0.0,macro,
0.0,,,timex,strict,0.0,0.0,macro,
0.0,,,relation,strict,0.0,0.0,macro,
0.2434782608695652,,,entity,relaxed,0.14285714285714285,0.8235294117647058,macro,
0.0,,,event,relaxed,0.0,0.0,macro,
0.0,,,timex,relaxed,0.0,0.0,macro,
0.0,,,relation,relaxed,0.0,0.0,macro,
