f1,fn,fp,layer,mode,precision,recall,scope,tp
0.13675213675213677,9,92,entity,strict,0.08,0.47058823529411764,micro,8
0.0,17,0,event,strict,0.0,0.0,micro,0
0.0,4,0,timex,strict,0.0,0.0,micro,0
0.0,21,0,relation,strict,0.0,0.0,micro,0
0.23931623931623933,3,86,entity,relaxed,0.14,0.8235294117647058,micro,14
0.0,17,0,event,relaxed,0.0,0.0,micro,0
0.0,4,0,timex,relaxed,0.0,0.0,micro,0
0.0,21,0,relation,relaxed,0.0,0.0,micro,0
0.13675213675213677,,,entity,strict,0.08,0.47058823529411764,macro,
0.0,,,event,strict,0.0,0.0,macro,
0.0,,,timex,strict,0.0,0.0,macro,
0.0,,,relation,strict,0.0,0.0,macro,
0.23931623931623933,,,entity,relaxed,0.14,0.8235294117647058,macro,
0.0,,,event,relaxed,0.0,0.0,macro,
0.0,,,timex,relaxed,0.0,0.0,macro,
0.0,,,relation,relaxed,0.0,0.0,macro,
