boundary_mismatch,doc_id,endpoint_mismatch,f1,fn,fp,layer,missing,mode,precision,recall,spurious,tp,type_mismatch
0,112579,0,0.33333333333333337,7,17,entity,7,strict,0.2608695652173913,0.46153846153846156,17,6,0
0,112579,0,0.16,18,66,event,11,strict,0.10810810810810811,0.3076923076923077,59,8,7
0,112579,0,0.4,2,10,timex,1,strict,0.2857142857142857,0.6666666666666666,9,4,1
0,112579,0,0.08888888888888889,12,29,relation,12,strict,0.06451612903225806,0.14285714285714285,29,2,0
2,61327,0,0.2424242424242424,11,14,entity,9,strict,0.2222222222222222,0.26666666666666666,12,4,0
0,61327,0,0.2105263157894737,6,39,event,4,strict,0.13333333333333333,0.5,37,6,2
0,61327,0,0.3333333333333333,2,6,timex,2,strict,0.25,0.5,6,2,0
0,61327,0,0.05714285714285715,10,23,relation,10,strict,0.041666666666666664,0.09090909090909091,23,1,0
0,62405,0,0.3272727272727273,22,15,entity,22,strict,0.375,0.2903225806451613,15,9,0
0,62405,0,0.20833333333333334,11,65,event,9,strict,0.13333333333333333,0.47619047619047616,63,10,2
0,62405,0,0.7692307692307692,1,2,timex,1,strict,0.7142857142857143,0.8333333333333334,2,5,0
0,62405,1,0.125,10,18,relation,9,strict,0.1,0.16666666666666666,17,2,0
0,76437,0,0.125,14,28,entity,13,strict,0.0967741935483871,0.17647058823529413,27,3,1
1,76437,0,0.20202020202020202,7,72,event,3,strict,0.12195121951219512,0.5882352941176471,68,10,3
0,76437,0,0.23529411764705882,2,11,timex,2,strict,0.15384615384615385,0.5,11,2,0
0,76437,0,0.0967741935483871,8,48,relation,7,strict,0.058823529411764705,0.2727272727272727,47,3,1
0,82738,0,0.21428571428571427,6,16,entity,6,strict,0.15789473684210525,0.3333333333333333,16,3,0
3,82738,0,0.14583333333333331,8,74,event,1,strict,0.08641975308641975,0.4666666666666667,67,7,4
2,82738,0,0.2105263157894737,5,10,timex,0,strict,0.16666666666666666,0.2857142857142857,5,2,3
0,82738,0,0.1111111111111111,13,19,relation,13,strict,0.09523809523809523,0.13333333333333333,19,2,0
1,96770,0,0.5714285714285714,9,9,entity,8,strict,0.5714285714285714,0.5714285714285714,8,12,0
0,96770,0,0.1754385964912281,15,32,event,7,strict,0.13513513513513514,0.25,24,5,8
0,96770,0,0.4285714285714285,1,7,timex,0,strict,0.3,0.75,6,3,1
0,96770,0,0.06451612903225808,12,17,relation,9,strict,0.05555555555555555,0.07692307692307693,14,1,3
