f1,fn,fp,layer,mode,precision,recall,scope,tp
0.13725490196078433,10,78,entity,strict,0.08235294117647059,0.4117647058823529,micro,7
0.29729729729729726,6,46,event,strict,0.19298245614035087,0.6470588235294118,micro,11
0.23529411764705882,2,11,timex,strict,0.15384615384615385,0.5,micro,2
0.11666666666666665,14,92,relation,strict,0.0707070707070707,0.3333333333333333,micro,7
0.19607843137254902,7,75,entity,relaxed,0.11764705882352941,0.5882352941176471,micro,10
0.3243243243243243,5,45,event,relaxed,0.21052631578947367,0.7058823529411765,micro,12
0.23529411764705882,2,11,timex,relaxed,0.15384615384615385,0.5,micro,2
0.11666666666666665,14,92,relation,relaxed,0.0707070707070707,0.3333333333333333,micro,7
0.13725490196078433,,,entity,strict,0.08235294117647059,0.4117647058823529,macro,
0.29729729729729726,,,event,strict,0.19298245614035087,0.6470588235294118,macro,
0.23529411764705882,,,timex,strict,0.15384615384615385,0.5,macro,
0.11666666666666665,,,relation,strict,0.0707070707070707,0.3333333333333333,macro,
0.19607843137254902,,,entity,relaxed,0.11764705882352941,0.5882352941176471,macro,
0.3243243243243243,,,event,relaxed,0.21052631578947367,0.7058823529411765,macro,
0.23529411764705882,,,timex,relaxed,0.15384615384615385,0.5,macro,
0.11666666666666665,,,relation,relaxed,0.0707070707070707,0.3333333333333333,macro,
