f1,fn,fp,layer,mode,precision,recall,scope,tp
0.14953271028037385,9,82,entity,strict,0.08888888888888889,0.47058823529411764,micro,8
0.0,17,0,event,strict,0.0,0.0,micro,0
0.0,4,0,timex,strict,0.0,0.0,micro,0
0.0,21,0,relation,strict,0.0,0.0,micro,0
0.24299065420560748,4,77,entity,relaxed,0.14444444444444443,0.7647058823529411,micro,13
0.0,17,0,event,relaxed,0.0,0.0,micro,0
0.0,4,0,timex,relaxed,0.0,0.0,micro,0
0.0,21,0,relation,relaxed,0.0,0.0,micro,0
0.14953271028037385,,,entity,strict,0.08888888888888889,0.47058823529411764,macro,
0.0,,,event,strict,0.0,0.0,macro,
0.0,,,timex,strict,0.0,0.0,macro,
0.0,,,relation,strict,0.0,0.0,macro,
0.24299065420560748,,,entity,relaxed,0.14444444444444443,0.7647058823529411,macro,
0.0,,,event,relaxed,0.0,0.0,macro,
0.0,,,timex,relaxed,0.0,0.0,macro,
0.0,,,relation,relaxed,0.0,0.0,macro,
